"","zSensr","defl"
"1",-4.63040770171119e-08,-5.29447596875343e-11
"2",-4.63035085829233e-08,1.1488943130189e-10
"3",-4.63029969921536e-08,2.02599714782536e-10
"4",-4.6302428557965e-08,1.70849556724306e-10
"5",-4.63019169671952e-08,-3.52904372391549e-11
"6",-4.63013485330066e-08,-1.60931712400725e-10
"7",-4.63008369422369e-08,1.72515335350454e-11
"8",-4.63002685080482e-08,7.3071326767149e-11
"9",-4.62997000738596e-08,-1.04221964392082e-10
"10",-4.62991884830899e-08,-2.25274465748271e-10
"11",-4.62986200489013e-08,-2.14784634522402e-10
"12",-4.62981084581315e-08,-1.60885083033691e-10
"13",-4.62975400239429e-08,-1.69079861223054e-10
"14",-4.62970284331732e-08,-2.89055002156147e-10
"15",-4.62964599989846e-08,-4.78102890610899e-10
"16",-4.62959484082148e-08,-5.25774090931463e-10
"17",-4.62954368174451e-08,-3.39723804643199e-10
"18",-4.62949252266753e-08,-1.2946266281233e-10
"19",-4.62944136359056e-08,7.57407470075577e-11
"20",-4.62939588885547e-08,2.10279349488474e-10
"21",-4.6293447297785e-08,2.22407869898689e-10
"22",-4.62929925504341e-08,2.43808973010573e-10
"23",-4.62925378030832e-08,5.78053160893433e-11
"24",-4.62920830557323e-08,-1.2768319734846e-10
"25",-4.62916283083814e-08,-1.63713487211226e-11
"26",-4.62911735610305e-08,-1.14077636226284e-11
"27",-4.62907756570985e-08,-1.36721300947329e-10
"28",-4.62903209097476e-08,-2.07291961373812e-10
"29",-4.62899230058156e-08,-3.0731817091123e-10
"30",-4.62895251018836e-08,-3.7985570244814e-10
"31",-4.62891271979515e-08,-2.12255990561516e-10
"32",-4.62887292940195e-08,1.3624346095753e-10
"33",-4.62883882335063e-08,3.95814936382521e-10
"34",-4.62879903295743e-08,4.0742831330931e-10
"35",-4.62876492690611e-08,2.41233255593443e-10
"36",-4.6287308208548e-08,4.79243311701794e-11
"37",-4.6286910304616e-08,-2.46628051314701e-10
"38",-4.62865692441028e-08,-2.64984922893063e-10
"39",-4.62862281835896e-08,-2.74229527974512e-11
"40",-4.62858871230765e-08,2.00539140848832e-10
"41",-4.62856029059822e-08,4.04993372171703e-10
"42",-4.6285261845469e-08,3.51561446620963e-10
"43",-4.62849207849558e-08,2.08125516820701e-10
"44",-4.62845797244427e-08,2.31445973497557e-10
"45",-4.62842955073484e-08,2.29011032359949e-10
"46",-4.62839544468352e-08,2.31258567851e-10
"47",-4.62836702297409e-08,2.75605316346628e-10
"48",-4.62833291692277e-08,1.58205892830665e-10
"49",-4.62830449521334e-08,6.86224410628711e-11
"50",-4.62827038916203e-08,1.89372961756362e-11
"51",-4.6282419674526e-08,-1.90407689615313e-11
