"","zSensr","defl"
"1",4.76012651517976e-09,5.10242692541851e-09
"2",4.76012651517976e-09,5.12930675711232e-09
"3",4.76012651517976e-09,5.09825959227328e-09
"4",4.7600696717609e-09,5.14110798377487e-09
"5",4.76001282834204e-09,5.13305309368661e-09
"6",4.75995598492318e-09,5.10163111755446e-09
"7",4.75984229808546e-09,5.10060083058761e-09
"8",4.75967176782888e-09,5.08411712729639e-09
"9",4.75950123757229e-09,5.0818225183491e-09
"10",4.75933070731571e-09,5.03752239922051e-09
"11",4.75910333364027e-09,5.07859176934744e-09
"12",4.75887595996483e-09,5.11235498379392e-09
"13",4.75864858628938e-09,5.12865128143858e-09
"14",4.75836436919508e-09,5.13071185537228e-09
"15",4.75808015210077e-09,5.0692259279117e-09
"16",4.75773909158761e-09,5.07264452664913e-09
"17",4.75739803107444e-09,5.02108576938554e-09
"18",4.75705697056128e-09,4.95866281369217e-09
"19",4.75671591004811e-09,4.98512164881504e-09
"20",4.75631800611609e-09,5.01242247707978e-09
"21",4.75592010218406e-09,5.11258901880751e-09
"22",4.75552219825204e-09,5.1107624798874e-09
"23",4.75512429432001e-09,5.03827202180673e-09
"24",4.75466954696913e-09,5.08828490453084e-09
"25",4.7542716430371e-09,5.09601161269302e-09
"26",4.75381689568621e-09,5.07868502808151e-09
"27",4.75336214833533e-09,5.06533881505788e-09
"28",4.75290740098444e-09,5.08917441521817e-09
"29",4.75239581021469e-09,5.14063946965848e-09
"30",4.75194106286381e-09,5.08861308645692e-09
"31",4.75142947209406e-09,5.03691399700301e-09
"32",4.75097472474317e-09,5.05152453200708e-09
"33",4.75046313397343e-09,5.04749708696295e-09
"34",4.75000838662254e-09,4.98676033799939e-09
"35",4.74949679585279e-09,5.0034785203934e-09
"36",4.74898520508305e-09,4.9904129717504e-09
"37",4.7484736143133e-09,4.96709251507355e-09
"38",4.74801886696241e-09,4.96011498540838e-09
"39",4.74750727619266e-09,4.92672569407659e-09
"40",4.74699568542292e-09,4.95487029184005e-09
"41",4.74648409465317e-09,4.96301844066238e-09
"42",4.74591566046456e-09,4.9985144912057e-09
"43",4.74540406969481e-09,5.08112041330833e-09
"44",4.74489247892507e-09,5.1136659351414e-09
"45",4.74438088815532e-09,5.11020115112615e-09
"46",4.74381245396671e-09,5.1318354010732e-09
"47",4.74330086319696e-09,5.09249975522152e-09
"48",4.74278927242722e-09,5.09540321047552e-09
"49",4.74222083823861e-09,5.16058840105416e-09
"50",4.74170924746886e-09,5.1872808271014e-09
"51",4.74114081328025e-09,5.17267029209734e-09
"52",4.74062922251051e-09,5.12757436510469e-09
"53",4.7400607883219e-09,5.10682918175576e-09
"54",4.73949235413329e-09,5.07091169055229e-09
"55",4.73898076336354e-09,5.11062214769709e-09
"56",4.73841232917493e-09,5.1171782367021e-09
"57",4.73784389498633e-09,5.04272090751101e-09
"58",4.73733230421658e-09,5.04609243279219e-09
"59",4.73676387002797e-09,5.02155383941272e-09
"60",4.73625227925822e-09,4.95599383754097e-09
"61",4.73568384506962e-09,4.98071939247779e-09
"62",4.73517225429987e-09,4.98189045572417e-09
"63",4.73460382011126e-09,4.96269070282551e-09
"64",4.73409222934151e-09,4.97322716341841e-09
"65",4.73358063857177e-09,4.90026774713215e-09
"66",4.73306904780202e-09,4.93576379767546e-09
"67",4.73255745703227e-09,4.9462069995343e-09
"68",4.73210270968139e-09,4.88987161872956e-09
"69",4.73159111891164e-09,4.94119589689035e-09
"70",4.73113637156075e-09,4.89628737554426e-09
"71",4.73068162420986e-09,4.9372621546695e-09
"72",4.73022687685898e-09,5.00403984915465e-09
"73",4.72977212950809e-09,4.97641128305304e-09
"74",4.72931738215721e-09,5.09053244002189e-09
"75",4.72891947822518e-09,5.10659514674217e-09
"76",4.72852157429315e-09,5.09765074596658e-09
"77",4.72812367036113e-09,5.18882625755168e-09
"78",4.7277257664291e-09,5.19514831154311e-09
"79",4.72738470591594e-09,5.23129983776016e-09
"80",4.72698680198391e-09,5.2826711893772e-09
"81",4.72664574147075e-09,5.25082732849569e-09
"82",4.72630468095758e-09,5.17341947059435e-09
"83",4.72596362044442e-09,5.19037168800196e-09
"84",4.72567940335011e-09,5.19252552066973e-09
"85",4.72539518625581e-09,5.07222264189977e-09
"86",4.72505412574264e-09,5.07245712100257e-09
"87",4.72476990864834e-09,5.06674346922864e-09
"88",4.72448569155404e-09,4.98418462058225e-09
"89",4.72425831787859e-09,4.94166441100674e-09
"90",4.72397410078429e-09,4.92499330206897e-09
"91",4.72374672710885e-09,4.95889729279497e-09
"92",4.7235193534334e-09,4.91815654868333e-09
"93",4.72329197975796e-09,4.91375473643529e-09
